question_id,evidence_class,proposed_answer,proposed_status,review_state,final_answer,reviewer,reviewed_at,reviewer_note,evidence_reference,override_reason
A2.2.2,inferred_cloud,Yes,supported_no_issue,pending,,,,,,
A2.4,inferred_cloud,Yes,supported_no_issue,pending,,,,,,
A2.5,inferred_cloud,Yes,supported_no_issue,pending,,,,,,
A2.5.1,inferred_cloud,Yes,supported_no_issue,pending,,,,,,
A2.7,inferred_cloud,No,supported_risk_found,pending,,,,,,
A2.9,inferred_cloud,No,supported_risk_found,pending,,,,,,
A4.1,inferred_cloud,Yes,supported_no_issue,pending,,,,,,
A4.7,direct_cloud,Yes,supported_no_issue,pending,,,,,,
A4.9,direct_cloud,Yes,supported_no_issue,pending,,,,,,
A4.11,inferred_cloud,No,supported_risk_found,pending,,,,,,
A5.2,inferred_cloud,No,supported_risk_found,pending,,,,,,
A5.4,direct_cloud,Yes,supported_no_issue,pending,,,,,,
A5.5,inferred_cloud,No,supported_risk_found,pending,,,,,,
A5.7,inferred_cloud,No,supported_risk_found,pending,,,,,,
A6.1,inferred_cloud,Yes,supported_no_issue,pending,,,,,,
A6.3,inferred_cloud,Yes,supported_no_issue,pending,,,,,,
A6.4,inferred_cloud,Yes,supported_no_issue,pending,,,,,,
A7.2,inferred_cloud,No,supported_risk_found,pending,,,,,,
A7.3,inferred_cloud,Yes,supported_no_issue,pending,,,,,,
A7.4,inferred_cloud,No,supported_risk_found,pending,,,,,,
A7.6,inferred_cloud,No,supported_risk_found,pending,,,,,,
A7.8,direct_cloud,No,supported_risk_found,pending,,,,,,
A7.9,inferred_cloud,Yes,supported_no_issue,pending,,,,,,
A7.10,inferred_cloud,No,supported_risk_found,pending,,,,,,
A7.11,inferred_cloud,No,supported_risk_found,pending,,,,,,
A7.14,inferred_cloud,No,supported_risk_found,pending,,,,,,
A7.16,direct_cloud,No,supported_risk_found,pending,,,,,,
A7.17,inferred_cloud,No,supported_risk_found,pending,,,,,,
