question_id,evidence_class,proposed_answer,proposed_status,review_state,final_answer,reviewer,reviewed_at,reviewer_note,evidence_reference,override_reason
A2.2.2,inferred_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:53:05Z,"Human cross-check accepted the current controlled-lab answer pack. Current CRIS-SME evidence maps NET-002 to this row and proposes No because linked risk evidence is present: 2 permissive NSG rule(s) were identified. Evidence class remains inferred_cloud, so the accepted answer is bounded to the linked CRIS-SME cloud evidence and does not certify the wider estate.",linked_findings=fdg_aae1f418c95de1; evidence=2 permissive NSG rule(s) were identified; source_answer_pack=outputs/reports/azure_controlled_lab/cris_sme_ce_self_assessment.json; source_report=outputs/reports/azure_controlled_lab/cris_sme_report.json,
A2.4,inferred_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:53:05Z,"Human cross-check accepted the current controlled-lab answer pack. Current CRIS-SME evidence maps NET-002 to this row and proposes No because linked risk evidence is present: 2 permissive NSG rule(s) were identified. Evidence class remains inferred_cloud, so the accepted answer is bounded to the linked CRIS-SME cloud evidence and does not certify the wider estate.",linked_findings=fdg_aae1f418c95de1; evidence=2 permissive NSG rule(s) were identified; source_answer_pack=outputs/reports/azure_controlled_lab/cris_sme_ce_self_assessment.json; source_report=outputs/reports/azure_controlled_lab/cris_sme_report.json,
A2.5,inferred_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:53:05Z,"Human cross-check accepted the current controlled-lab answer pack. Current CRIS-SME evidence maps NET-002 to this row and proposes No because linked risk evidence is present: 2 permissive NSG rule(s) were identified. Evidence class remains inferred_cloud, so the accepted answer is bounded to the linked CRIS-SME cloud evidence and does not certify the wider estate.",linked_findings=fdg_aae1f418c95de1; evidence=2 permissive NSG rule(s) were identified; source_answer_pack=outputs/reports/azure_controlled_lab/cris_sme_ce_self_assessment.json; source_report=outputs/reports/azure_controlled_lab/cris_sme_report.json,
A2.5.1,inferred_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:53:05Z,"Human cross-check accepted the current controlled-lab answer pack. Current CRIS-SME evidence maps NET-002 to this row and proposes No because linked risk evidence is present: 2 permissive NSG rule(s) were identified. Evidence class remains inferred_cloud, so the accepted answer is bounded to the linked CRIS-SME cloud evidence and does not certify the wider estate.",linked_findings=fdg_aae1f418c95de1; evidence=2 permissive NSG rule(s) were identified; source_answer_pack=outputs/reports/azure_controlled_lab/cris_sme_ce_self_assessment.json; source_report=outputs/reports/azure_controlled_lab/cris_sme_report.json,
A2.7,inferred_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:36:57Z,Accepted as a cloud-control-plane risk finding; proposed No is reasonable where CRIS-SME has mapped telemetry to a CE risk.,CRIS-SME review ledger row A2.7: supported_risk_found; evidence_class=inferred_cloud; source finding details not included in CSV.,
A2.9,inferred_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:36:57Z,Accepted as a cloud-control-plane risk finding; proposed No is reasonable where CRIS-SME has mapped telemetry to a CE risk.,CRIS-SME review ledger row A2.9: supported_risk_found; evidence_class=inferred_cloud; source finding details not included in CSV.,
A4.1,inferred_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:53:05Z,"Human cross-check accepted the current controlled-lab answer pack. Current CRIS-SME evidence maps NET-001; NET-002 to this row and proposes No because linked risk evidence is present: 1 asset(s) expose RDP to the public internet; 1 asset(s) expose SSH to the public internet; 2 permissive NSG rule(s) were identified. Evidence class remains inferred_cloud, so the accepted answer is bounded to the linked CRIS-SME cloud evidence and does not certify the wider estate.",linked_findings=fdg_c698d41a33cfb4; fdg_aae1f418c95de1; evidence=1 asset(s) expose RDP to the public internet; 1 asset(s) expose SSH to the public internet; 2 permissive NSG rule(s) were identified; source_answer_pack=outputs/reports/azure_controlled_lab/cris_sme_ce_self_assessment.json; source_report=outputs/reports/azure_controlled_lab/cris_sme_report.json,
A4.7,direct_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:53:05Z,Human cross-check accepted the current controlled-lab answer pack. Current CRIS-SME direct cloud evidence maps NET-001; NET-002 to this row and proposes No because linked risk evidence is present: 1 asset(s) expose RDP to the public internet; 1 asset(s) expose SSH to the public internet; 2 permissive NSG rule(s) were identified.,linked_findings=fdg_c698d41a33cfb4; fdg_aae1f418c95de1; evidence=1 asset(s) expose RDP to the public internet; 1 asset(s) expose SSH to the public internet; 2 permissive NSG rule(s) were identified; source_answer_pack=outputs/reports/azure_controlled_lab/cris_sme_ce_self_assessment.json; source_report=outputs/reports/azure_controlled_lab/cris_sme_report.json,
A4.9,direct_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:53:05Z,Human cross-check accepted the current controlled-lab answer pack. Current CRIS-SME direct cloud evidence maps NET-001 to this row and proposes No because linked risk evidence is present: 1 asset(s) expose RDP to the public internet; 1 asset(s) expose SSH to the public internet.,linked_findings=fdg_c698d41a33cfb4; evidence=1 asset(s) expose RDP to the public internet; 1 asset(s) expose SSH to the public internet; source_answer_pack=outputs/reports/azure_controlled_lab/cris_sme_ce_self_assessment.json; source_report=outputs/reports/azure_controlled_lab/cris_sme_report.json,
A4.11,inferred_cloud,No,supported_risk_found,accepted,No,Reviewer-CRIS-SME-01,2026-05-13T22:36:57Z,Accepted as a cloud-control-plane risk finding; proposed No is reasonable where CRIS-SME has mapped telemetry to a CE risk.,CRIS-SME review ledger row A4.11: supported_risk_found; evidence_class=inferred_cloud; source finding details not included in CSV.,
